u_dpto,u_mpio,cod_mpio,hacinamiento,sin_cocina,sin_agua_cocina
52,693,52693,.11949216,.16666667,.011904762
52,694,52694,.14576271,.11525424,.031690139
52,696,52696,.10856574,.048902195,.94188374
52,699,52699,.29206964,.059961315,.057768926
52,720,52720,.26946107,.089820363,.016161617
52,786,52786,.12416357,.10698365,.029526029
52,788,52788,.19002123,.082802549,.012087912
52,835,52835,.10700963,.18767081,.46560055
52,838,52838,.15643398,.066947013,.033723332
52,885,52885,.18570183,.21553229,.026929982
54,001,54001,.16622269,.20687304,.039547402
54,003,54003,.12916853,.30664888,.0074525746
54,051,54051,.13943028,.29385307,.058084771
54,099,54099,.07450524,.18181819,.035629455
54,109,54109,.12582782,.066225164,.12751678
54,125,54125,.2053872,.37710437,.021276595
54,128,54128,.083657585,.036964979,.035714287
54,172,54172,.14549525,.34574467,.022065584
54,174,54174,.19290124,.11959877,.022515528
54,206,54206,.18602499,.12679315,.040018834
54,223,54223,.11574952,.22011386,.22222222
54,239,54239,.20176731,.46244478,.019908117
54,245,54245,.21466666,.21733333,.044137932
54,250,54250,.3032417,.33894822,.091217652
54,261,54261,.20597546,.34316248,.012431221
54,313,54313,.022662889,.64872521,.012838801
54,344,54344,.20110193,.0661157,.025210084
54,347,54347,.20329671,.090410955,.028089888
54,377,54377,.1245283,.31886792,.10192308
54,385,54385,.20553359,.31620553,.086868688
54,398,54398,.090551183,.20472442,.015873017
54,405,54405,.13729937,.20949446,.060421236
54,418,54418,.14700855,.23076923,.033568904
54,480,54480,.13545817,.18000001,.035555556
54,498,54498,.10902003,.22716422,.016140111
54,518,54518,.072538465,.076532163,.015264093
54,520,54520,.11320755,.24213837,.035830621
54,553,54553,.26222223,.25033349,.068406843
54,599,54599,.18284994,.19924338,.13333334
54,660,54660,.16609295,.05932932,.029798422
54,670,54670,.17271157,.079584777,.045694202
54,673,54673,.16305916,.27561328,.0542522
54,680,54680,.23518519,.27407408,.001953125
54,720,54720,.16648045,.1839851,.042205323
54,743,54743,.16896552,.062068965,.014981274
54,800,54800,.18693982,.12355212,.066216215
54,810,54810,.21225999,.14076814,.1642538
54,820,54820,.12213267,.235732,.023642173
54,871,54871,.11205433,.081494056,.017152658
54,874,54874,.19139801,.19839883,.17564009
63,001,63001,.043958794,.077706493,.014327281
63,111,63111,.037117902,.072052404,.018604651
63,130,63130,.058189541,.055865329,.022009831
63,190,63190,.054312147,.04967925,.011691467
63,212,63212,.089539006,.13741134,.0036934442
63,272,63272,.052158274,.033288348,.006833713
63,302,63302,.086713284,.054583624,.011997177
63,401,63401,.075731501,.054790098,.022707231
63,470,63470,.078485407,.08249107,.020303506
63,548,63548,.055102039,.047959182,.016753927
63,594,63594,.072895795,.052236002,.0043262499
63,690,63690,.079497911,.13189113,.0089219334
66,001,66001,.039781213,.063760139,.011293725
66,045,66045,.04173531,.11916529,.023608768
66,075,66075,.04536489,.065088756,.093117408
66,088,66088,.052685685,.09868928,.0016242556
66,170,66170,.036965936,.090191506,.051485937
66,318,66318,.085470088,.18570319,.022870662
66,383,66383,.060353797,.078125,.024526199
66,400,66400,.064699732,.17576672,.0024988102
66,440,66440,.04964539,.068918921,.0055382485
66,456,66456,.061560486,.072297782,.072766572
66,572,66572,.043572985,.16993465,.014590348
66,594,66594,.071246818,.069126375,.03202077
66,682,66682,.058420502,.15479553,.023935327
66,687,66687,.037463978,.099038459,.0060060062
68,001,68001,.074857652,.068488263,.058712892
68,013,68013,.087378643,.55769229,.05319149
68,020,68020,.081632651,.045918368,.13297872
68,051,68051,.092198581,.15198864,.11259259
68,077,68077,.070654303,.19077486,.0324702
68,079,68079,.06342914,.053677931,.032388665
68,081,68081,.14832965,.17163469,.05147073
68,092,68092,.0990991,.10135135,.056818184
68,101,68101,.08858268,.14990138,.059183672
68,121,68121,.12096774,.13709678,.35772356
68,132,68132,.088967972,.085409254,.015267176
68,147,68147,.11036789,.10041841,.013876843
68,152,68152,.17596567,.2,.017857144
68,160,68160,.064102568,.083333336,.021739131
68,162,68162,.1515435,.27340823,.069391638
68,167,68167,.053711791,.050262239,.0058061634
68,169,68169,.072340429,.093617022,.012765957
68,176,68176,.12915128,.044280443,.045977011
68,179,68179,.079999998,.10666667,.018691588
68,190,68190,.10861244,.16279626,.026959561
68,207,68207,.16699411,.11897738,.11967546
68,209,68209,.10447761,.069651738,.020304568
68,211,68211,.051881995,.035605289,.090010978
68,217,68217,.068825908,.056680162,.016597511
68,229,68229,.098163843,.15737474,.0093256813
68,235,68235,.1310212,.072254337,.024363233
68,245,68245,.056034483,.043103449,.22119816
68,250,68250,.11607143,.27927929,.093457945
68,255,68255,.18319492,.15835777,.19671315
68,264,68264,.099415205,.064327486,.025
68,266,68266,.14385965,.15087719,.010752688
68,271,68271,.11363637,.038636364,.027972028
68,276,68276,.051415551,.057722233,.037033349
68,296,68296,.091549292,.1971831,.017857144
68,298,68298,.1048035,.091703057,.014705882
68,307,68307,.088130563,.093306288,.12199584
68,318,68318,.14,.162,.0080160322
68,320,68320,.059245959,.13464992,.020109689
68,322,68322,.12121212,.080808081,.02259887
68,324,68324,.062841527,.038356163,.065281898
68,327,68327,.082778305,.096098952,.023904383
68,344,68344,.10300429,.34763947,.0090090092
68,368,68368,.091954023,.088122606,.020833334
68,370,68370,.23333333,.16666667,.06666667
68,377,68377,.065891474,.079457365,.031372551
68,385,68385,.10363636,.22363636,.12835822
68,397,68397,.056603774,.10943396,.032258064
68,406,68406,.11926872,.087133311,.051688269
68,418,68418,.13529412,.20784314,.27422681
68,425,68425,.18103448,.21052632,.039999999
68,432,68432,.079458073,.068510719,.0095918747
68,444,68444,.093275487,.030368764,.038288288
68,464,68464,.09234412,.18878357,.022453889
68,468,68468,.15246637,.071748883,.036866359
68,498,68498,.077777781,.09259259,.027131783
68,500,68500,.06403622,.080310881,.013614704
68,502,68502,.09662921,.16179775,.056872036
68,522,68522,.090909094,.096969694,.006289308
68,524,68524,.092741936,.084677421,.0041322312
68,533,68533,.090673573,.059431523,.0080428952
68,547,68547,.071649402,.074419565,.023600526
68,549,68549,.10091743,.12883435,.018987341
68,572,68572,.052748471,.078333333,.043905258
68,573,68573,.16216215,.11802854,.032388665
68,575,68575,.16946661,.10350619,.045346577
68,615,68615,.088114753,.096923076,.011739595
68,655,68655,.1734989,.1343309,.091247343
68,669,68669,.094810382,.053892214,.020181635
68,673,68673,.023255814,.034883723,.21176471
68,679,68679,.061798774,.13045324,.015262362
68,682,68682,.10357143,.13214286,.045454547
68,684,68684,.11619718,.095070422,.018248174
68,686,68686,.10572688,.15486726,.15765765
68,689,68689,.08017198,.058436632,.029947916
68,705,68705,.044444446,.1,.035714287
68,720,68720,.095940962,.17037037,.036866359
68,745,68745,.06110283,.14157973,.0060790274
68,755,68755,.044232778,.060566507,.0084700184
68,770,68770,.065459609,.050139274,.11449275
68,773,68773,.05820106,.069148935,.125
68,780,68780,.12944984,.051779937,.066445179
68,820,68820,.065656565,.035353534,.020833334
68,855,68855,.08842653,.062418725,.0079681277
