MPIO_CCNCT,Dist_EDU,Dist_HEALTH,Dist_SPORT,Pop
15753,0.569,0.576,14.705,6220
54820,0.568,4.921,0.565,4823
41503,0.567,0.485,9.408,2355
50330,0.565,23.831,0.601,4086
73283,0.563,0.603,0.573,15440
13673,0.563,0.729,6.142,5340
47460,0.562,0.441,0.790,7739
73555,0.561,0.412,0.556,6657
50223,0.559,0.613,0.628,4487
17486,0.559,13.198,12.426,11312
54553,0.557,4.754,21.619,7686
76606,0.557,0.595,0.719,8644
63690,0.556,0.398,0.662,3746
15367,0.554,7.282,0.462,1684
05792,0.553,0.503,5.795,3235
73200,0.553,15.473,0.402,1473
05086,0.553,0.426,24.767,1602
73043,0.552,0.357,19.097,1296
05425,0.551,0.686,0.388,2971
27075,0.550,#N/A,0.480,5982
15455,0.548,0.570,0.637,4960
25151,0.547,0.517,0.649,6730
86571,0.547,0.477,29.737,4341
76890,0.545,0.544,0.593,8268
73563,0.545,0.528,0.510,3728
66088,0.544,0.599,0.681,10989
47605,0.544,14.288,33.406,6272
13074,0.542,0.394,0.573,5681
05318,0.540,18.143,0.768,17396
66594,0.539,0.555,0.483,6767
05679,0.538,0.530,0.597,10364
73024,0.538,0.285,0.582,1714
25200,0.536,0.548,0.598,7602
25053,0.536,6.479,0.625,4325
17524,0.536,0.640,0.706,4703
25483,0.534,16.423,0.416,1556
05861,0.533,0.374,0.525,4776
05576,0.533,0.391,0.000,3807
25823,0.533,36.185,0.542,638
41797,0.532,0.499,0.466,5243
20383,0.532,0.659,32.127,5069
52390,0.531,#N/A,#N/A,2881
68615,0.528,0.611,0.584,6155
68573,0.528,55.364,31.295,2394
18753,0.528,0.759,0.489,21399
41801,0.528,0.475,0.617,3965
25099,0.527,8.183,0.606,7650
05856,0.527,0.425,0.675,3211
05361,0.526,0.692,0.586,6649
05150,0.526,0.628,0.460,2642
85325,0.524,0.519,0.513,2871
85315,0.524,71.567,0.330,857
47161,0.523,0.508,11.238,5181
50680,0.523,0.460,0.659,5963
25785,0.522,0.547,0.664,6301
19533,0.522,40.341,0.618,1911
73067,0.520,0.533,0.682,4813
68872,0.520,0.463,0.607,4447
41319,0.520,0.459,0.647,5161
41872,0.520,0.452,0.524,2377
25260,0.520,16.246,0.603,18911
18094,0.519,0.534,0.586,5706
52320,0.518,7.366,0.571,4058
27495,0.517,#N/A,0.748,1008
25040,0.516,0.523,0.565,4115
47960,0.515,0.562,24.774,3660
41799,0.515,16.168,0.570,5173
05134,0.513,26.834,17.156,2358
15814,0.513,0.503,0.567,4205
05659,0.513,0.631,11.896,6624
73870,0.513,0.494,0.405,3026
41359,0.512,0.419,0.497,6078
76616,0.512,0.351,7.037,6344
52079,0.512,0.530,0.516,11030
68211,0.511,0.499,0.432,2516
86760,0.511,6.585,0.731,3434
05873,0.511,0.541,0.438,3093
50150,0.510,0.496,0.441,6154
25322,0.510,0.567,0.471,6099
50251,0.509,0.453,0.513,2925
50450,0.508,0.563,0.375,3256
68572,0.508,0.417,3.601,5114
54660,0.507,0.916,0.656,3752
52224,0.507,12.128,0.696,2674
41378,0.507,0.406,14.541,4765
15476,0.506,4.522,4.188,742
05313,0.506,0.364,0.365,5341
25799,0.505,0.527,0.498,8560
13042,0.503,0.426,0.400,4485
05660,0.503,0.387,0.409,6635
52287,0.502,23.526,8.649,2808
15599,0.500,0.412,0.358,4022
54206,0.500,0.407,0.510,7337
95015,0.499,45.023,0.521,4206
05656,0.499,0.396,0.534,6508
73461,0.499,0.407,21.820,1601
05264,0.498,0.426,16.457,5113
86755,0.498,5.290,5.101,3323
52885,0.496,0.418,0.493,3316
15740,0.495,10.672,10.165,1116
70204,0.493,10.487,0.434,3436
19513,0.493,0.526,0.580,4380
05674,0.493,0.410,0.558,5315
68669,0.491,0.360,0.601,2892
13212,0.489,0.483,21.989,4173
05310,0.488,0.449,12.185,4262
25524,0.488,0.350,20.573,1043
25851,0.488,12.643,0.636,2337
27245,0.487,0.721,26.340,2505
73026,0.486,0.432,0.353,3095
19355,0.485,27.620,0.418,1213
27450,0.485,8.904,8.406,2547
05585,0.484,0.467,0.477,3894
15244,0.484,0.589,0.508,2194
19100,0.483,0.556,0.505,4707
15673,0.481,0.319,20.775,1163
76100,0.481,0.405,0.292,3783
25658,0.480,0.512,15.721,4011
47798,0.479,16.876,1.011,6304
95025,0.479,0.540,0.569,3170
25718,0.479,0.585,0.636,2552
70823,0.479,0.479,0.731,6449
18756,0.478,55.301,106.409,2733
13600,0.478,0.367,0.471,4422
54099,0.477,0.357,0.372,2580
47205,0.477,0.526,26.050,4024
08832,0.477,13.040,13.855,6456
05321,0.477,0.451,14.082,5229
25181,0.476,0.582,0.587,3969
50124,0.476,0.771,0.395,2836
17541,0.475,1.550,30.832,6778
25297,0.475,0.587,0.598,3280
18785,0.475,112.758,0.695,3231
15135,0.474,24.780,0.316,651
15272,0.473,9.346,0.434,2488
68500,0.473,0.479,0.466,4469
68770,0.472,0.424,0.548,1821
25769,0.472,10.720,0.546,7217
19517,0.472,0.423,8.133,2898
17088,0.472,11.743,5.000,4300
54599,0.472,0.346,0.389,2870
05091,0.472,0.542,0.473,3400
08549,0.471,0.590,18.846,2708
23678,0.470,0.403,0.535,4284
68079,0.470,0.565,0.710,2886
05400,0.470,0.491,11.362,12557
73873,0.469,0.573,0.456,1892
41548,0.469,0.717,0.512,4266
15600,0.469,19.816,0.588,2217
27160,0.469,20.452,0.477,2945
52215,0.469,20.284,0.368,3056
50400,0.466,28.844,0.550,4563
25736,0.464,0.421,0.485,3384
47703,0.463,0.394,14.775,1470
70265,0.463,0.415,0.422,6772
05591,0.463,0.424,0.492,2908
68820,0.463,32.716,32.234,499
66045,0.461,0.399,0.407,4896
13473,0.459,0.669,0.331,5924
63548,0.459,0.389,0.338,2893
25123,0.457,5.732,0.507,3500
15104,0.457,9.873,0.306,672
47570,0.457,0.380,3.990,8577
25649,0.456,7.871,15.975,3207
54250,0.456,0.591,21.303,8248
19300,0.456,0.441,12.202,5977
05209,0.455,0.558,1.367,6804
52490,0.455,#N/A,0.692,10126
25530,0.455,41.490,21.811,3416
54223,0.455,17.271,0.387,1478
68255,0.452,24.535,0.446,6821
15047,0.451,0.411,0.243,5764
25779,0.451,0.380,8.283,2150
41206,0.451,46.962,0.521,2097
73678,0.450,0.639,22.886,3618
76869,0.449,0.486,11.817,7583
13300,0.448,0.528,0.483,3142
05490,0.448,0.571,36.972,9946
47660,0.447,0.467,0.333,4505
17050,0.447,0.370,18.288,6330
15804,0.446,0.374,0.485,1667
15403,0.446,20.850,0.295,1256
63272,0.445,0.559,0.476,6455
76377,0.445,0.404,18.512,2770
15189,0.445,5.143,5.359,1207
18610,0.444,16.943,0.337,6087
23168,0.444,5.191,0.600,3147
27006,0.441,0.405,0.405,6513
05347,0.441,0.411,0.639,2080
15466,0.440,0.424,4.729,2327
52573,0.440,17.714,0.628,3426
17388,0.439,0.587,27.222,1864
63212,0.438,0.432,0.704,3312
73124,0.438,0.448,0.349,9324
73236,0.437,0.424,0.371,3056
52207,0.437,0.462,0.743,1880
25279,0.435,0.345,7.980,4414
52378,0.434,0.544,17.550,7562
41006,0.434,0.429,13.373,4565
05055,0.433,22.419,22.299,2992
05315,0.433,0.350,0.298,2124
76863,0.432,13.129,0.495,3271
54673,0.430,8.180,0.555,2248
05480,0.429,0.468,16.016,4958
52317,0.427,0.514,0.472,3039
19075,0.427,0.449,0.530,5234
25491,0.425,0.299,0.529,1774
15507,0.424,48.209,6.574,3357
41357,0.424,0.461,0.528,2598
25436,0.422,0.516,0.440,804
73226,0.422,1.354,19.745,2098
25368,0.420,0.434,0.360,789
52685,0.419,0.751,0.381,2497
18205,0.418,0.649,0.618,5208
70523,0.418,11.376,19.641,4690
73217,0.417,0.367,28.333,3597
68344,0.416,0.309,0.303,610
15223,0.415,0.469,0.647,2127
05138,0.415,0.399,25.265,4765
73854,0.415,0.399,15.101,2047
52352,0.415,25.649,11.157,2000
15172,0.412,11.951,0.351,1170
50370,0.412,78.013,0.333,1946
05059,0.412,0.438,7.652,1359
18410,0.412,15.693,0.366,2293
52786,0.411,0.309,0.359,3658
25324,0.410,0.384,0.465,1172
76246,0.410,0.367,0.559,2588
41660,0.408,0.496,9.855,1822
15051,0.408,0.595,22.624,2378
52323,0.407,16.240,0.355,2881
25885,0.406,19.218,6.752,2597
52411,0.405,0.333,0.546,1919
54239,0.405,0.363,0.796,2190
13030,0.405,0.440,0.457,3703
47980,0.403,5.865,32.812,4355
17495,0.403,0.402,0.408,3953
76670,0.403,0.313,0.613,6950
15835,0.402,0.481,0.539,2071
17616,0.401,0.365,0.368,3809
19392,0.401,0.403,0.859,1620
15638,0.399,8.077,0.349,2451
25293,0.398,21.268,2.926,1538
23090,0.395,26.478,0.542,3840
66318,0.395,0.475,3.780,3433
15667,0.395,0.360,0.890,2142
15757,0.394,0.450,11.310,4234
05670,0.392,0.466,0.469,6159
68327,0.390,0.367,0.413,2750
68385,0.390,0.424,0.464,3069
18860,0.390,0.819,0.533,2224
68101,0.389,0.424,0.220,1477
68377,0.389,0.358,0.296,1566
15761,0.388,13.522,0.276,597
25662,0.387,0.598,0.431,2661
68773,0.387,0.231,0.309,467
15776,0.386,13.435,0.727,2083
17662,0.385,0.433,6.146,5235
05197,0.383,0.361,13.251,5966
05240,0.383,28.113,8.588,1834
66572,0.383,0.400,0.463,2624
41770,0.383,0.353,0.472,4005
52240,0.383,0.565,0.469,4288
19110,0.383,0.252,15.584,1144
52612,0.382,0.423,0.313,2109
52381,0.382,0.457,21.210,1816
15480,0.382,0.405,28.162,5370
68229,0.382,0.371,0.458,4577
05145,0.381,0.520,5.976,1946
85225,0.381,22.277,0.428,1789
05093,0.381,0.780,0.345,4191
05483,0.379,0.342,0.373,2745
